DATE,AAA
2003-01-01,6.17
2003-02-01,5.95
2003-03-01,5.89
2003-04-01,5.74
2003-05-01,5.22
2003-06-01,4.97
2003-07-01,5.49
2003-08-01,5.88
2003-09-01,5.72
2003-10-01,5.70
2003-11-01,5.65
2003-12-01,5.62
2004-01-01,5.54
2004-02-01,5.50
2004-03-01,5.33
2004-04-01,5.73
2004-05-01,6.04
2004-06-01,6.01
2004-07-01,5.82
2004-08-01,5.65
2004-09-01,5.46
2004-10-01,5.47
2004-11-01,5.52
2004-12-01,5.47
2005-01-01,5.36
2005-02-01,5.20
2005-03-01,5.40
2005-04-01,5.33
2005-05-01,5.15
2005-06-01,4.96
2005-07-01,5.06
2005-08-01,5.09
2005-09-01,5.13
2005-10-01,5.35
2005-11-01,5.42
2005-12-01,5.37
2006-01-01,5.29
2006-02-01,5.35
2006-03-01,5.53
2006-04-01,5.84
2006-05-01,5.95
2006-06-01,5.89
2006-07-01,5.85
2006-08-01,5.68
2006-09-01,5.51
2006-10-01,5.51
2006-11-01,5.33
2006-12-01,5.32
2007-01-01,5.40
2007-02-01,5.39
2007-03-01,5.30
2007-04-01,5.47
2007-05-01,5.47
2007-06-01,5.79
2007-07-01,5.73
2007-08-01,5.79
2007-09-01,5.74
2007-10-01,5.66
2007-11-01,5.44
2007-12-01,5.49
2008-01-01,5.33
2008-02-01,5.53
2008-03-01,5.51
2008-04-01,5.55
2008-05-01,5.57
2008-06-01,5.68
2008-07-01,5.67
2008-08-01,5.64
2008-09-01,5.65
2008-10-01,6.28
2008-11-01,6.12
2008-12-01,5.05
2009-01-01,5.05
2009-02-01,5.27
2009-03-01,5.50
2009-04-01,5.39
2009-05-01,5.54
2009-06-01,5.61
2009-07-01,5.41
2009-08-01,5.26
2009-09-01,5.13
2009-10-01,5.15
2009-11-01,5.19
2009-12-01,5.26
2010-01-01,5.26
2010-02-01,5.35
2010-03-01,5.27
2010-04-01,5.29
2010-05-01,4.96
2010-06-01,4.88
2010-07-01,4.72
2010-08-01,4.49
2010-09-01,4.53
2010-10-01,4.68
2010-11-01,4.87
2010-12-01,5.02
2011-01-01,5.04
2011-02-01,5.22
2011-03-01,5.13
2011-04-01,5.16
2011-05-01,4.96
2011-06-01,4.99
2011-07-01,4.93
2011-08-01,4.37
2011-09-01,4.09
2011-10-01,3.98
2011-11-01,3.87
2011-12-01,3.93
2012-01-01,3.85
2012-02-01,3.85
2012-03-01,3.99
2012-04-01,3.96
2012-05-01,3.80
2012-06-01,3.64
2012-07-01,3.40
2012-08-01,3.48
2012-09-01,3.49
2012-10-01,3.47
2012-11-01,3.50
2012-12-01,3.65
2013-01-01,3.80
2013-02-01,3.90
2013-03-01,3.93
2013-04-01,3.73
2013-05-01,3.89
2013-06-01,4.27
2013-07-01,4.34
2013-08-01,4.54
2013-09-01,4.64
2013-10-01,4.53
2013-11-01,4.63
2013-12-01,4.62
2014-01-01,4.49
