DATE,BUSLOANS
2005-01-01,921.5217
2005-02-01,931.8983
2005-03-01,945.8926
2005-04-01,958.5639
2005-05-01,968.7372
2005-06-01,975.1522
2005-07-01,989.5712
2005-08-01,995.8369
2005-09-01,1000.9407
2005-10-01,1014.4387
2005-11-01,1022.5265
2005-12-01,1036.1058
2006-01-01,1048.8891
2006-02-01,1058.5458
2006-03-01,1068.7654
2006-04-01,1084.9674
2006-05-01,1103.2682
2006-06-01,1118.878
2006-07-01,1130.5614
2006-08-01,1152.2662
2006-09-01,1151.2295
2006-10-01,1161.271
2006-11-01,1169.8722
2006-12-01,1182.5171
2007-01-01,1192.5256
2007-02-01,1205.1508
2007-03-01,1215.8708
2007-04-01,1226.428
2007-05-01,1244.5094
2007-06-01,1263.9569
2007-07-01,1281.7061
2007-08-01,1307.6613
2007-09-01,1350.0974
2007-10-01,1374.7136
2007-11-01,1393.5762
2007-12-01,1417.6016
2008-01-01,1441.0765
2008-02-01,1449.2419
2008-03-01,1470.8422
2008-04-01,1489.9965
2008-05-01,1491.2137
2008-06-01,1498.3204
2008-07-01,1512.1036
2008-08-01,1513.7619
2008-09-01,1531.0261
2008-10-01,1586.4233
2008-11-01,1575.3815
2008-12-01,1558.6875
2009-01-01,1544.8925
2009-02-01,1532.8161
2009-03-01,1511.3757
2009-04-01,1491.5105
2009-05-01,1469.4046
2009-06-01,1436.3915
2009-07-01,1395.3977
2009-08-01,1363.5906
2009-09-01,1337.7916
2009-10-01,1307.7439
2009-11-01,1289.9794
2009-12-01,1265.163
2010-01-01,1238.7372
2010-02-01,1223.6593
2010-03-01,1210.1354
2010-04-01,1207.4249
2010-05-01,1196.7259
2010-06-01,1190.1701
2010-07-01,1188.9965
2010-08-01,1187.9008
2010-09-01,1186.0266
2010-10-01,1184.8283
2010-11-01,1186.9841
2010-12-01,1192.3662
2011-01-01,1196.0779
2011-02-01,1199.8163
2011-03-01,1206.9191
2011-04-01,1214.7836
2011-05-01,1228.8961
2011-06-01,1233.6499
2011-07-01,1244.3025
2011-08-01,1263.3853
2011-09-01,1269.7806
2011-10-01,1280.0536
2011-11-01,1292.808
2011-12-01,1303.767
2012-01-01,1321.4184
2012-02-01,1344.506
2012-03-01,1351.0147
2012-04-01,1368.4559
2012-05-01,1378.8763
2012-06-01,1397.9665
2012-07-01,1413.6573
2012-08-01,1425.8883
2012-09-01,1434.4392
2012-10-01,1449.2932
2012-11-01,1457.2398
2012-12-01,1474.4588
2013-01-01,1485.0963
2013-02-01,1491.5631
2013-03-01,1499.8219
2013-04-01,1507.2395
2013-05-01,1510.2476
2013-06-01,1521.7148
2013-07-01,1531.7389
2013-08-01,1533.3185
2013-09-01,1540.0262
2013-10-01,1549.421
2013-11-01,1558.5975
2013-12-01,1574.3348
2014-01-01,1586.7308
2014-02-01,1619.9032
2014-03-01,1634.1939
2014-04-01,1650.8673
2014-05-01,1663.4654
2014-06-01,1676.7091
2014-07-01,1694.7364
2014-08-01,1711.9169
2014-09-01,1725.7095
2014-10-01,1730.654
2014-11-01,1751.4649
2014-12-01,1773.3289
2015-01-01,1791.4649
2015-02-01,1807.969
2015-03-01,1834.6574
2015-04-01,1847.4647
2015-05-01,1863.2155
2015-06-01,1880.0106
2015-07-01,1889.3971
2015-08-01,1903.497
2015-09-01,1915.3335
2015-10-01,1929.9909
2015-11-01,1946.1398
2015-12-01,1953.028
2016-01-01,1963.8614
2016-02-01,1987.0965
2016-03-01,2019.0644
2016-04-01,2032.8705
2016-05-01,2047.6807
2016-06-01,2050.6023
2016-07-01,2057.7396
2016-08-01,2051.359
2016-09-01,2070.3348
2016-10-01,2086.0443
2016-11-01,2089.2406
2016-12-01,2083.858
2017-01-01,2082.4205
2017-02-01,2082.4462
2017-03-01,2066.1819
2017-04-01,2066.7875
2017-05-01,2071.2002
2017-06-01,2072.7647
2017-07-01,2076.2042
2017-08-01,2084.0913
2017-09-01,2103.0097
2017-10-01,2112.3532
2017-11-01,2104.8251
2017-12-01,2103.3867
2018-01-01,2107.4187
