DATE,DGS3
2005-01-03,3.28
2005-01-04,3.38
2005-01-05,3.39
2005-01-06,3.36
2005-01-07,3.40
2005-01-10,3.41
2005-01-11,3.41
2005-01-12,3.38
2005-01-13,3.36
2005-01-14,3.41
2005-01-17,.
2005-01-18,3.42
2005-01-19,3.42
2005-01-20,3.38
2005-01-21,3.33
2005-01-24,3.36
2005-01-25,3.39
2005-01-26,3.43
2005-01-27,3.45
2005-01-28,3.41
2005-01-31,3.43
2005-02-01,3.43
2005-02-02,3.47
2005-02-03,3.51
2005-02-04,3.44
2005-02-07,3.46
2005-02-08,3.47
2005-02-09,3.38
2005-02-10,3.43
2005-02-11,3.48
2005-02-14,3.51
2005-02-15,3.51
2005-02-16,3.56
2005-02-17,3.55
2005-02-18,3.62
2005-02-21,.
2005-02-22,3.62
2005-02-23,3.63
2005-02-24,3.67
2005-02-25,3.68
2005-02-28,3.75
2005-03-01,3.76
2005-03-02,3.75
2005-03-03,3.76
2005-03-04,3.73
2005-03-07,3.76
2005-03-08,3.79
2005-03-09,3.87
2005-03-10,3.87
2005-03-11,3.94
2005-03-14,3.95
2005-03-15,3.96
2005-03-16,3.92
2005-03-17,3.89
2005-03-18,3.91
2005-03-21,3.93
2005-03-22,4.06
2005-03-23,4.05
2005-03-24,4.06
2005-03-25,.
2005-03-28,4.09
2005-03-29,4.05
2005-03-30,4.03
2005-03-31,3.96
2005-04-01,3.90
2005-04-04,3.90
2005-04-05,3.91
2005-04-06,3.86
2005-04-07,3.89
2005-04-08,3.94
2005-04-11,3.91
2005-04-12,3.85
2005-04-13,3.83
2005-04-14,3.76
2005-04-15,3.68
2005-04-18,3.69
2005-04-19,3.64
2005-04-20,3.65
2005-04-21,3.77
2005-04-22,3.73
2005-04-25,3.75
2005-04-26,3.77
2005-04-27,3.75
2005-04-28,3.67
2005-04-29,3.73
2005-05-02,3.71
2005-05-03,3.73
2005-05-04,3.70
2005-05-05,3.65
2005-05-06,3.80
2005-05-09,3.83
2005-05-10,3.79
2005-05-11,3.78
2005-05-12,3.75
2005-05-13,3.71
2005-05-16,3.71
2005-05-17,3.71
2005-05-18,3.67
2005-05-19,3.73
2005-05-20,3.77
2005-05-23,3.73
2005-05-24,3.68
2005-05-25,3.68
2005-05-26,3.72
2005-05-27,3.72
2005-05-30,.
2005-05-31,3.65
2005-06-01,3.55
